Latitude				Longitude
50.5112014				6.9939896
49.9534891				10.8750469
52.4333644				13.190734
50.0110113				8.3917604
48.9693881				8.3903784
52.4200885				13.1763456
50.3638373				7.5769021
52.9822191				8.845254
49.4814353				10.993033
48.3974836				11.7378821
47.9927509				7.8558873
49.9322248				11.5720575
48.0124776				7.8149142
47.9207025				11.7554223
50.9313358				6.9369729
51.0910202				6.8805055
49.6057522				10.8848653
48.9988621				8.0705867
53.5733794				7.7716977
49.0014062				8.397165
49.0722096				8.1927674
48.1832729				11.2739914
49.0517594				12.0450613
48.8003651				9.315582
50.0612104				10.8635908
48.149801				11.5855374
52.4916944				13.4389954
48.0812535				8.1596569
48.1827857				11.2525293
50.8805997				11.6000326
51.3629651				12.3430979
48.341065				9.9398521
49.0426808				12.0161756
49.0176795				12.0294204
51.8608757				10.8150651
50.5434406				8.5335935
48.6620761				9.3178861
50.9684636				6.9490882
51.052279				13.809103
49.6696258				10.9307287
51.0567441				6.8512195
51.3314765				12.4111614
49.5904803				10.7610548
47.990399				7.8586445
47.8051395				9.6418742
48.2912447				11.6243318
49.81615				10.9863455
51.195365				11.9350775
51.2972237				12.0596469
50.8356077				8.3380138
52.4337259				13.1642419
49.8997417				8.6933536
48.6326899				9.2077907
48.3136854				11.9100098
51.3965811				7.1474739
48.7407947				8.877328
50.1252149				8.1687389
48.2158609				7.6613839
52.5406075				13.2066054
49.5221304				11.2759492
47.6078227				11.3700084
49.994239				11.6851525
51.1383169				7.1237864
48.3465235				10.911171
49.0230659				12.0958397
48.1204274				11.6071809
50.3247397				11.9182507
50.495037				12.1317381
51.4627777				12.6732804
48.7163316				10.3749814
47.9695378				11.7697154
50.3907085				6.7279463
51.5445569				14.7222076
50.8054003				7.175791
51.1189102				6.9425804
53.0070053				13.3222681
50.1873761				10.8418844
50.6475041				8.7491489
48.1147203				11.614455
50.6451408				7.2071153
49.3504644				8.1829873
49.0379445				8.3058099
48.1140705				11.6137928
50.3555579				11.6948462
48.1303725				11.6159096
48.0957588				11.7274113
48.66609				9.1431816
47.6290717				7.5951422
52.1073248				11.6437569
48.1732593				11.3959707
49.9940224				8.360402
51.3059087				13.3097325
49.2195972				8.3702405
50.7885502				7.2824538
51.1220224				6.1504373
50.2848558				11.909684
51.3131027				9.4881054
51.3044885				12.2521618
50.9610496				14.1100983
49.772716				8.6282809
51.8967292				11.0741901
48.302824				11.6149508
49.2463497				6.8790205
51.5117601				11.9392392
50.8056648				7.5888535
49.7836344				12.3096975
49.7835532				12.3067334
49.7834219				12.3082493
50.7157826				13.6063686
49.047277				7.8995461
47.9626373				11.3154101
48.1360261				12.1615559
51.3071135				12.2539762
50.137172				8.6460278
48.8252206				11.7814578
51.4184679				7.0238896
52.3526025				10.5573915
52.1914671				9.0793483
48.8988677				11.8195244
49.2758015				11.0198011
48.1368337				11.2110195
48.5642089				12.5975861
50.5464917				8.7387659
48.3362467				8.9501314
48.4272065				10.0428404
50.5257713				10.5309345
52.6375628				9.9858235
48.6905288				11.804528
51.3031918				12.2598853
48.4166153				11.7274612
49.7424356				8.4813473
50.1048811				8.6759384
49.4415185				8.6618083
52.5112754				13.335988
52.3595349				9.7851541
49.2511906				6.7319373
51.6988532				6.886951
50.9767917				11.0228553
49.6185167				11.1612102
50.9580523				10.6716982
50.1072608				8.6822526
50.5606366				12.7672382
53.0774251				8.8005416
48.797856				9.800424
51.0427717				11.6792331
48.1073692				11.6548707
51.1584875				12.8019146
49.7681294				11.0569891
48.5085025				12.1789652
51.0646416				6.582904
50.7261247				7.1242361
48.5752308				12.2267646
51.3787234				6.9812069
47.8258287				11.3020283
52.0000352				7.5595829
48.9171173				9.3089293
49.2688638				6.8729897
51.3667227				6.9819107
52.2872243				7.9725462
53.5349351				9.8590725
51.5640058				6.8754476
52.2016972				8.7284499
48.9504799				9.428019
48.3888208				9.998797
51.2022144				6.8021635
48.7981687				10.1096156
49.7775795				11.1030142
48.6745824				10.1545161
48.5739317				12.1062245
50.1656881				9.0273902
48.7946613				9.2098864
48.6771886				10.1547604
49.3178442				8.6780371
49.3147101				8.6791668
50.5402451				8.3808333
50.5401733				8.3806239
48.7280523				11.1305468
48.3596718				10.9025093
49.4013475				8.5786984
51.1901464				6.919967
48.7189715				10.8476541
48.7193023				10.8484681
49.790511				8.6102416
53.4512882				7.8394399
51.3042872				12.56573
48.8056644				9.0159261
52.4297781				13.3540651
49.6037316				11.3398291
51.7706754				9.3804845
48.7079995				9.5756381
51.0737553				13.7013567
48.500759				11.4522495
49.1554754				11.7576758
50.6334205				10.7407213
51.6776608				8.3467697
48.426221				11.5179079
48.0881684				9.209634
51.7115601				12.2968747
48.8122668				8.210062
51.5626488				7.4153404
53.9960695				11.4382656
48.1155366				11.541413
48.143627				11.417126
51.4733441				7.0839142
51.677775				8.3457876
48.2815722				10.3312159
48.2027985				7.9741735
50.1304742				8.7051121
50.7112663				7.0336685
52.8233706				12.0735408
51.0436024				13.7898043
51.6111935				12.2423877
49.9038279				6.5414801
52.5978619				13.2750843
48.221842				10.1101378
50.1009692				10.8559391
49.4375105				8.6751244
49.2816121				8.1291462
48.0771305				11.7140129
48.7158761				10.7725964
51.3552029				12.4407534
51.4757159				7.2159701
48.7957118				11.4393563
47.5834311				10.6855848
50.2263485				8.5786161
51.5439768				7.2376576
50.7270826				6.4548198
47.9814488				11.8638689
47.9972306				11.1673493
49.7286265				11.0756969
49.2245319				9.2124805
51.1539676				14.9840459
52.1579765				11.6126341
47.58994				9.5747257
53.1074808				8.1308625
48.9754559				10.9043987
52.1176879				11.638457
53.1691255				8.6210436
48.8078476				9.1416676
50.1021891				8.5681277
48.4796065				10.929428
48.4785522				10.9291168
50.5185398				7.0211529
49.4149136				8.6636299
50.6266427				6.9471805
50.8712761				8.0138662
53.0690439				8.8112557
49.491274				11.8199093
50.8814204				9.7433712
52.0232229				8.8232639
49.9535555				10.8608686
48.334483				10.8264065
49.6391427				11.3550459
51.7326654				11.0249859
52.3612414				9.7351541
50.9310092				12.0154233
49.6403472				10.5932956
50.9258256				6.9656214
51.8700972				13.9703984
48.3944503				7.8091687
51.7859767				10.9667491
49.7285264				11.0760855
49.7289506				11.0775953
49.7282355				11.0765791
49.7281187				11.0763543
49.7278597				11.076588
47.5479891				10.2175291
48.9258909				9.0780985
50.0516981				11.3221875
53.5155834				9.9988306
50.9811296				7.0242762
51.7398631				11.0196959
50.5642997				6.9669973
48.9784262				8.1825416
52.2412496				13.1514555
49.4510853				11.0910124
51.43035				11.974891
49.7277317				11.0768287
49.7275653				11.0769059
49.7272099				11.0775276
49.7295974				11.0748857
49.7295039				11.0754972
49.729566				11.075887
49.7294197				11.0750316
49.7293122				11.0748814
49.7292186				11.0747473
49.729158				11.0745488
49.7290713				11.0744134
49.7291416				11.0739631
49.728809				11.0742127
49.7289031				11.0736529
49.7287035				11.0740144
49.7286077				11.0737328
52.3769308				9.7115922
51.1932318				6.9969863
48.5369997				12.1494071
51.5473909				7.68657
54.4737343				13.4478765
51.5046876				7.0276221
51.4244039				7.487431
51.4372553				7.570048
51.4639246				7.5575486
50.8676188				6.0991242
48.2903093				11.6350709
52.4113223				9.3803453
47.7411269				9.1321313
49.3167592				8.4502045
